NEIGHBORHOOD,BLOCK,ZIPCODE
HARLEM-CENTRAL           ,1943,10026
HARLEM-CENTRAL           ,1949,10027
HARLEM-CENTRAL           ,1960,10030
HARLEM-CENTRAL           ,2024,10030
HARLEM-CENTRAL           ,1721,10027
HARLEM-CENTRAL           ,1725,10027
HARLEM-CENTRAL           ,1745,10035
HARLEM-CENTRAL           ,1754,10035
HARLEM-CENTRAL           ,1820,10026
HARLEM-CENTRAL           ,1828,10026
HARLEM-CENTRAL           ,1907,10027
HARLEM-CENTRAL           ,1913,10027
HARLEM-CENTRAL           ,1917,10030
HARLEM-CENTRAL           ,1920,10030
HARLEM-CENTRAL           ,1751,10035
HARLEM-CENTRAL           ,1755,10037
HARLEM-CENTRAL           ,1770,10035
HARLEM-CENTRAL           ,1908,10027
HARLEM-CENTRAL           ,1953,10027
HARLEM-CENTRAL           ,2011,10030
HARLEM-CENTRAL           ,2012,10030
HARLEM-CENTRAL           ,2023,10030
HARLEM-CENTRAL           ,2045,10039
HARLEM-CENTRAL           ,1599,10026
HARLEM-CENTRAL           ,1717,10026
HARLEM-CENTRAL           ,1718,10026
HARLEM-CENTRAL           ,1722,10035
HARLEM-CENTRAL           ,1723,10035
HARLEM-CENTRAL           ,1725,10035
HARLEM-CENTRAL           ,1727,10037
HARLEM-CENTRAL           ,1728,10037
HARLEM-CENTRAL           ,1728,10026
HARLEM-CENTRAL           ,1729,10031
HARLEM-CENTRAL           ,1729,10037
HARLEM-CENTRAL           ,1729,10026
HARLEM-CENTRAL           ,1729,10027
HARLEM-CENTRAL           ,1735,10037
HARLEM-CENTRAL           ,1749,10035
HARLEM-CENTRAL           ,1750,10035
HARLEM-CENTRAL           ,1751,10027
HARLEM-CENTRAL           ,1752,10035
HARLEM-CENTRAL           ,1756,10037
HARLEM-CENTRAL           ,1768,10035
HARLEM-CENTRAL           ,1821,10026
HARLEM-CENTRAL           ,1822,10026
HARLEM-CENTRAL           ,1823,10026
HARLEM-CENTRAL           ,1825,10026
HARLEM-CENTRAL           ,1826,10026
HARLEM-CENTRAL           ,1829,10026
HARLEM-CENTRAL           ,1831,10026
HARLEM-CENTRAL           ,1903,10026
HARLEM-CENTRAL           ,1904,10026
HARLEM-CENTRAL           ,1904,10027
HARLEM-CENTRAL           ,1906,10027
HARLEM-CENTRAL           ,1912,10027
HARLEM-CENTRAL           ,1915,10027
HARLEM-CENTRAL           ,1917,10027
HARLEM-CENTRAL           ,1918,10030
HARLEM-CENTRAL           ,1919,10030
HARLEM-CENTRAL           ,1921,10030
HARLEM-CENTRAL           ,1921,10037
HARLEM-CENTRAL           ,1923,10026
HARLEM-CENTRAL           ,1927,10026
HARLEM-CENTRAL           ,1929,10027
HARLEM-CENTRAL           ,1938,10027
HARLEM-CENTRAL           ,1940,10030
HARLEM-CENTRAL           ,1948,10027
HARLEM-CENTRAL           ,1950,10027
HARLEM-CENTRAL           ,1954,10027
HARLEM-CENTRAL           ,1955,10027
HARLEM-CENTRAL           ,1958,10026
HARLEM-CENTRAL           ,1958,10027
HARLEM-CENTRAL           ,2007,10030
HARLEM-CENTRAL           ,2010,10037
HARLEM-CENTRAL           ,2011,10037
HARLEM-CENTRAL           ,2014,10039
HARLEM-CENTRAL           ,2026,10030
HARLEM-CENTRAL           ,2029,10039
HARLEM-CENTRAL           ,2030,10030
HARLEM-CENTRAL           ,2031,10039
HARLEM-CENTRAL           ,2032,10039
HARLEM-CENTRAL           ,2033,10039
HARLEM-CENTRAL           ,2034,10039
HARLEM-CENTRAL           ,2035,10039
HARLEM-CENTRAL           ,2036,10037
HARLEM-CENTRAL           ,2038,10039
HARLEM-CENTRAL           ,2039,10039
HARLEM-CENTRAL           ,2040,10039
HARLEM-CENTRAL           ,2043,10030
HARLEM-CENTRAL           ,2044,10030
HARLEM-CENTRAL           ,2046,10039
HARLEM-CENTRAL           ,2047,10039
HARLEM-CENTRAL           ,2048,10030
HARLEM-CENTRAL           ,2053,10031
HARLEM-CENTRAL           ,2054,10031
HARLEM-CENTRAL           ,1775,10035
HARLEM-CENTRAL           ,1821,10032
HARLEM-CENTRAL           ,1830,10026
HARLEM-CENTRAL           ,1746,10035
HARLEM-CENTRAL           ,1748,10030
HARLEM-CENTRAL           ,1824,10026
HARLEM-CENTRAL           ,1829,10025
HARLEM-CENTRAL           ,1949,10026
HARLEM-CENTRAL           ,1952,10027
HARLEM-CENTRAL           ,2009,10030
HARLEM-CENTRAL           ,2053,10016
HARLEM-CENTRAL           ,2053,10027
HARLEM-CENTRAL           ,2054,10032
HARLEM-CENTRAL           ,2042,10030
HARLEM-CENTRAL           ,1820,10029
HARLEM-CENTRAL           ,1722,10027
HARLEM-CENTRAL           ,1917,10037
HARLEM-CENTRAL           ,2051,10031
HARLEM-CENTRAL           ,1945,10026
HARLEM-CENTRAL           ,1774,10035
HARLEM-CENTRAL           ,1909,10027
HARLEM-CENTRAL           ,1769,10035
HARLEM-CENTRAL           ,1772,10035
HARLEM-CENTRAL           ,1773,10035
HARLEM-CENTRAL           ,2013,10039
HARLEM-CENTRAL           ,1901,10026
HARLEM-CENTRAL           ,1932,10027
HARLEM-CENTRAL           ,1941,10037
HARLEM-CENTRAL           ,1959,10030
HARLEM-EAST              ,1643,10029
HARLEM-EAST              ,1667,10035
HARLEM-EAST              ,1708,10029
HARLEM-EAST              ,1709,10029
HARLEM-EAST              ,1623,10035
HARLEM-EAST              ,1661,10029
HARLEM-EAST              ,1711,10035
HARLEM-EAST              ,1785,10035
HARLEM-EAST              ,1639,10029
HARLEM-EAST              ,1710,10035
HARLEM-EAST              ,1795,10035
HARLEM-EAST              ,1621,10029
HARLEM-EAST              ,1621,10035
HARLEM-EAST              ,1624,10128
HARLEM-EAST              ,1625,10029
HARLEM-EAST              ,1627,10029
HARLEM-EAST              ,1629,10029
HARLEM-EAST              ,1630,10029
HARLEM-EAST              ,1631,10029
HARLEM-EAST              ,1634,10029
HARLEM-EAST              ,1635,10029
HARLEM-EAST              ,1636,10029
HARLEM-EAST              ,1637,10029
HARLEM-EAST              ,1638,10029
HARLEM-EAST              ,1644,10035
HARLEM-EAST              ,1645,10035
HARLEM-EAST              ,1655,10029
HARLEM-EAST              ,1660,10029
HARLEM-EAST              ,1674,10029
HARLEM-EAST              ,1676,10029
HARLEM-EAST              ,1687,10029
HARLEM-EAST              ,1783,10035
HARLEM-EAST              ,1783,10027
HARLEM-EAST              ,1784,10035
HARLEM-EAST              ,1796,10035
HARLEM-EAST              ,1806,10035
HARLEM-EAST              ,1807,10035
HARLEM-EAST              ,1815,10035
HARLEM-EAST              ,1677,10029
HARLEM-EAST              ,1680,10029
HARLEM-EAST              ,1622,10029
HARLEM-EAST              ,1644,10029
HARLEM-EAST              ,1666,10029
HARLEM-EAST              ,1675,10029
HARLEM-EAST              ,1681,10029
HARLEM-EAST              ,1689,10035
HARLEM-EAST              ,1628,10029
HARLEM-EAST              ,1683,10029
HARLEM-EAST              ,1688,10029
HARLEM-EAST              ,1789,10035
HARLEM-EAST              ,1790,10035
HARLEM-EAST              ,1792,10035
HARLEM-EAST              ,1622,10035
HARLEM-EAST              ,1715,10035
HARLEM-EAST              ,1716,10035
HARLEM-EAST              ,1665,10029
HARLEM-EAST              ,1624,10029
HARLEM-EAST              ,1646,10029
HARLEM-UPPER             ,2058,10031
HARLEM-UPPER             ,2059,10031
HARLEM-UPPER             ,2061,10031
HARLEM-UPPER             ,2062,10031
HARLEM-UPPER             ,2073,10031
HARLEM-UPPER             ,2086,10031
HARLEM-UPPER             ,2063,10031
HARLEM-UPPER             ,2064,10031
HARLEM-UPPER             ,2067,10031
HARLEM-UPPER             ,2068,10032
HARLEM-UPPER             ,2087,10031
HARLEM-UPPER             ,2089,10031
HARLEM-UPPER             ,2094,10031
HARLEM-UPPER             ,2060,10031
HARLEM-UPPER             ,2072,10031
HARLEM-UPPER             ,2080,10031
HARLEM-UPPER             ,2084,10031
HARLEM-UPPER             ,2092,10031
HARLEM-UPPER             ,2065,10031
