BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,404,10, ,C6," 512 EAST 11TH STREET, 3A-3D               ",            ,10009,0,0,0,0,0,1929, 2 , C6 ,545000,8/18/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,404,26, ,C6," 544 EAST 11TH STREET, 3B                  ",            ,10009,0,0,0,0,0,1928, 2 , C6 ,525000,1/21/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,404,50, ,C6," 311 EAST 10TH STREET, 5A                  ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,495000,1/12/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,404,50, ,C6," 311 EAST 10TH STREET, 5B                  ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,640000,12/13/2011
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,406,61, ,C6," 507 EAST 12TH STREET, 2A                  ",            ,10009,0,0,0,0,0,1900, 2 , C6 ,425000,7/27/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,377,26, ,D4, 388-390 EAST 8 STREET                     ,            ,10009,36,0,36,6455,30018,1900, 2 , D4 ,0,11/30/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,377,26, ,D4, 388 EAST 8TH   STREET                     ,            ,10009,36,0,36,6455,30018,1900, 2 , D4 ,0,1/19/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,377,26, ,D4, 388 EAST 8TH   STREET                     ,            ,10009,0,0,0,0,0,1900, 2 , D4 ,0,1/19/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,377,26, ,D4, 388-390 EAST 8 STREET                     ,            ,10009,0,0,0,0,0,1900, 2 , D4 ,0,11/30/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,379,45, ,D0," 735 EAST 9TH STREET, 1B                   ",            ,10009,0,0,0,0,0,1920, 2 , D0 ,0,2/15/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,386,36, ,D0," 300 EAST 4TH STREET, 1D                   ",            ,10009,0,0,0,0,0,1940, 2 , D0 ,870000,8/11/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,398,8, ,D4," 160 EAST 3RD STREET, 2B                   ",            ,10009,0,0,0,0,0,1940, 2 , D4 ,685000,7/28/2011
1,ALPHABET CITY            ,10  COOPS - ELEVATOR APARTMENTS             ,2,398,8, ,D4," 160  EAST 3RD STREET, 5I                  ",            ,10009,0,0,0,0,0,1940, 2 , D4 ,0,8/10/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,393,1021, ,R2, 389 EAST 10 STREET                        ,E1          ,10009,1,0,1,0,0,0, 2 , R2 ,900000,11/15/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,393,1024, ,R2, 383 EAST 10TH   STREET                    ,C2          ,10009,1,0,1,0,0,0, 2 , R2 ,0,4/6/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,393,1035, ,R2, 389 EAST 10TH                             ,E3          ,10009,1,0,1,0,0,0, 2 , R2 ,780000,2/17/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,398,1003, ,R2, 182 EAST 2ND   STREET                     ,1C          ,10009,1,0,1,0,0,0, 2 , R2 ,575000,8/26/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,398,1015, ,R2, 182 EAST 2ND   STREET                     ,3A          ,10009,1,0,1,0,0,0, 2 , R2 ,725000,9/23/2011
1,ALPHABET CITY            ,12  CONDOS - WALKUP APARTMENTS              ,2,398,1019, ,R2, 182 EAST 2ND   STREET                     ,3E          ,10009,1,0,1,0,0,0, 2 , R2 ,745000,2/15/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,384,1215, ,R4, 310 EAST HOUSTON STREET                   ,5A          ,10002,1,0,1,0,0,2005, 2 , R4 ,0,7/6/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,384,1407, ,R4, 229 EAST 2ND   STREET                     ,1B/2A       ,10009,1,0,1,0,0,2008, 2 , R4 ,1527375,3/15/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,384,1411, ,R4, 229 EAST 2ND STREET                       ,6A          ,10009,1,0,1,0,0,2008, 2 , R4 ,1400093,1/20/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1009, ,R4, 143 AVENUE B                              ,3D          ,10009,1,0,1,0,0,1928, 2 , R4 ,1033000,10/6/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1036, ,R4, 143 AVENUE B                              ,8A          ,10009,1,0,1,0,0,1928, 2 , R4 ,690000,2/17/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1047, ,R4, 143 AVENUE B                              ,9E          ,10009,1,0,1,0,0,1928, 2 , R4 ,680000,7/27/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1048, ,R4, 143 AVENUE B                              ,9F          ,10009,1,0,1,0,0,1928, 2 , R4 ,1750000,11/1/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1049, ,R4, 143 AVENUE B                              ,9G          ,10009,1,0,1,0,0,1928, 2 , R4 ,0,11/1/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,1076, ,R4, 143 AVENUE B                              ,14F         ,10009,1,0,1,0,0,1928, 2 , R4 ,0,12/12/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,396,1003, ,R4, 215 AVENUE B                              ,1003,10009,1,0,1,0,0,2008, 2 , R4 ,1067500,2/11/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,396,1018, ,R4, 215 AVENUE B                              ,1018,10009,1,0,1,0,0,2008, 2 , R4 ,1300000,5/12/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,405,1309, ,R4, 525 EAST 11TH STREET                      ,4B          ,10009,1,0,1,0,0,0, 2 , R4 ,1290000,10/3/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,405,1323, ,R4, 525 EAST 11TH STREET                      ,6D          ,10009,1,0,1,0,0,0, 2 , R4 ,1500000,11/4/2011
1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,405,1326, ,R4, 525 EAST 11TH STREET                      ,PH8A        ,10009,1,0,1,0,0,0, 2 , R4 ,1630000,8/31/2011
1,ALPHABET CITY            ,14  RENTALS - 4-10 UNIT                     ,2A,387,133, ,S3, 650 E 6TH STREET                          ,            ,10009,3,1,4,1940,4140,1920, 2 , S3 ,285299,1/13/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,372,1001, ,R1, 296 EAST 2ND STREET                       ,B           ,10009,1,0,1,0,0,0, 2 , R1 ,1325000,1/4/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,377,1106, ,R1, 259 EAST 7TH   STREET                     ,3A          ,10009,1,0,1,0,0,0, 2 , R1 ,3195000,2/1/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,384,1006, ,R1, 211 EAST 2ND   STREET                     ,6,10009,1,0,1,0,0,1905, 2 , R1 ,2122500,3/15/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,384,1008, ,R1, 213 EAST 2ND   STREET                     ,8,10009,1,0,1,0,0,2005, 2 , R1 ,2341975,2/28/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,391,1003, ,R1, 331 EAST 8TH   STREET                     ,3,10009,1,0,1,0,0,2005, 2 , R1 ,1100000,10/6/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,391,1004, ,R1, 331 EAST 8TH                              ,4,10009,1,0,1,0,0,2005, 2 , R1 ,1250000,12/2/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1403, ,R1, 643 EAST 11TH   STREET                    ,3,10009,1,0,1,0,0,2006, 2 , R1 ,610000,1/18/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,405,1102, ,R1, 549 E. 11TH STREET                        ,A1          ,10009,1,0,1,0,0,0, 2 , R1 ,755000,10/20/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,406,1102, ,R1, 525 EAST 12TH STREET                      ,1A          ,10009,1,0,1,0,0,2007, 2 , R1 ,1731025,1/6/2011
1,ALPHABET CITY            ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,406,1106, ,R1, 525 EAST 12TH   STREET                    ,6A          ,10009,1,0,1,0,0,2007, 2 , R1 ,0,7/27/2011
1,ALPHABET CITY            ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,384,1009, ,R8, 213 EAST 2ND   STREET                     ,#9          ,10009,0,1,1,0,0,2005, 2 , R8 ,101400,10/27/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,389,1003, ,R9," 99 AVENUE B, 6F                           ",            ,10009,0,0,0,0,0,1901, 2 , R9 ,550000,2/15/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,389,1003, ,R9," 99 AVENUE B, 1C                           ",            ,10009,0,0,0,0,0,1901, 2 , R9 ,215000,6/8/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,389,1003, ,R9," 99 AVENUE B, 2D                           ",            ,10009,0,0,0,0,0,1901, 2 , R9 ,245000,12/15/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,389,1003, ,R9," 99 AVENUE B, 5A                           ",            ,10009,0,0,0,0,0,1901, 2 , R9 ,599000,10/19/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,399,1002, ,R9," 50 AVENUE A, PH6D                         ",            ,10009,0,0,0,0,0,1920, 2 , R9 ,1240000,9/14/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,407,1003, ,R9," 214 AVENUE A, TERR                        ",            ,10009,0,0,0,0,0,1920, 2 , R9 ,550000,7/18/2011
1,ALPHABET CITY            ,17  CONDOPS                                 ,2,407,1003, ,R9," 214 AVENUE A, TERR                        ",            ,10009,0,0,0,0,0,1920, 2 , R9 ,769000,11/7/2011
