,neighborhood,last_income,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
91,GRAVESEND,53.3641692171269,0.0225,0.0279,0.0054,0.0243,0.0018
92,GREENPOINT,51.5532066254543,0.0565,0.0759,0.0194,0.0734,0.0169
93,GREENWICH VILLAGE-CENTRAL,314.0711150726671,0.0447,0.013,-0.0317,0.0528,0.0081
94,GREENWICH VILLAGE-WEST,261.86401192794733,0.0335,-0.0156,-0.0491,0.0434,0.0099
95,HAMMELS,59.564052605643774,0.022,0.0136,-0.0084,0.0254,0.0034
96,HARLEM-CENTRAL,115.3894233341948,0.0431,0.0124,-0.0307,0.0377,-0.0054
97,HARLEM-EAST,125.2626152244236,0.0435,0.0202,-0.0233,0.0351,-0.0084
98,HARLEM-UPPER,92.43623791609771,0.05,0.0405,-0.0095,0.0493,-0.0007
99,HARLEM-WEST,52.42184911989837,0.0445,0.0464,0.0019,0.048,0.0035
100,HIGHBRIDGE/MORRIS HEIGHTS,29.360516229858842,0.0183,0.0306,0.0123,0.0192,0.0009
101,HILLCREST,55.94581492582058,0.0231,0.0311,0.008,0.027,0.0039
102,HOLLIS,47.663619835210746,0.0201,0.0283,0.0082,0.0218,0.0017
103,HOLLIS HILLS,55.38803510089974,0.0188,0.0243,0.0055,0.0215,0.0027
104,HOLLISWOOD,49.0302707424234,0.0316,0.0269,-0.0047,0.0214,-0.0102
105,HOWARD BEACH,53.62044148051355,0.0195,0.0257,0.0062,0.0247,0.0052
106,HUNTS POINT,31.824052887264894,0.0192,0.0288,0.0096,0.0207,0.0015
107,INWOOD,193.7393090292071,0.0441,0.0104,-0.0337,0.0459,0.0018
108,JACKSON HEIGHTS,52.21710914248294,0.0267,0.0385,0.0118,0.0348,0.0081
109,JAMAICA,39.61678518426561,0.0177,0.0276,0.0099,0.0226,0.0049
110,JAMAICA BAY,49.03674685400763,0.0231,0.031,0.0079,0.0252,0.0021
111,JAMAICA ESTATES,54.46712294456619,0.0181,0.0268,0.0087,0.0232,0.0051
112,JAMAICA HILLS,44.15042791148668,0.0183,0.0263,0.008,0.0219,0.0036
113,JAVITS CENTER,288.3750642165972,0.0548,0.0296,-0.0252,0.0565,0.0017
114,KENSINGTON,70.06774528153264,0.0472,0.0618,0.0146,0.056,0.0088
115,KEW GARDENS,51.78638329879206,0.025,0.0345,0.0095,0.0306,0.0056
116,KINGSBRIDGE HTS/UNIV HTS,33.16009224642372,0.0191,0.031,0.0119,0.0214,0.0023
117,KINGSBRIDGE/JEROME PARK,53.29172960373867,0.021,0.0211,0.0001,0.0267,0.0057
118,KIPS BAY,172.9377056692132,0.0546,0.0211,-0.0335,0.0428,-0.0118
119,LAURELTON,45.099342022801274,0.018,0.0257,0.0077,0.0205,0.0025
120,LITTLE ITALY,292.86617747755366,0.0612,0.0505,-0.0107,0.0665,0.0053
121,LITTLE NECK,80.58485288714617,0.0276,0.0406,0.013,0.0318,0.0042
122,LONG ISLAND CITY,65.54495429195327,0.0381,0.0593,0.0212,0.0501,0.012
123,LOWER EAST SIDE,237.40335004394365,0.0516,0.015,-0.0366,0.0427,-0.0089
124,MADISON,52.660132767007546,0.0252,0.0361,0.0109,0.0297,0.0045
125,MANHATTAN BEACH,57.53214470284238,0.0245,0.0326,0.0081,0.0196,-0.0049
126,MANHATTAN VALLEY,202.63783804213185,0.0516,0.0305,-0.0211,0.0512,-0.0004
127,MANHATTAN-UNKNOWN,263.3413040037447,0.0787,0.0812,0.0025,0.0831,0.0044
128,MARINE PARK,66.90061991409316,0.0268,0.0354,0.0086,0.0318,0.005
129,MASPETH,54.81768034867369,0.0361,0.0484,0.0123,0.0433,0.0072
130,MELROSE/CONCOURSE,42.56475871843734,0.0204,0.0227,0.0023,0.0251,0.0047
131,MIDDLE VILLAGE,57.12984475532407,0.0268,0.0357,0.0089,0.0323,0.0055
132,MIDTOWN CBD,313.19764365075605,0.0106,-0.0104,-0.021,0.0429,0.0323
133,MIDTOWN EAST,297.26269393586324,0.0225,0.0123,-0.0102,0.0464,0.0239
134,MIDTOWN WEST,294.2028156649783,0.007,-0.0385,-0.0455,0.0317,0.0247
135,MIDWOOD,58.810700105570646,0.0319,0.0419,0.01,0.0377,0.0058
136,MILL BASIN,65.45406484962406,0.0247,0.0361,0.0114,0.0315,0.0068
137,MORNINGSIDE HEIGHTS,77.62082149138467,0.0485,0.0503,0.0018,0.0501,0.0016
138,MORRIS PARK/VAN NEST,45.37794092390835,0.0177,0.0218,0.0041,0.0191,0.0014
139,MORRISANIA/LONGWOOD,32.21324163521699,0.0192,0.0298,0.0106,0.0211,0.0019
140,MOTT HAVEN/PORT MORRIS,35.065965073082324,0.0196,0.0293,0.0097,0.0222,0.0026
141,MOUNT HOPE/MOUNT EDEN,29.51369637013866,0.0181,0.0304,0.0123,0.0183,0.0002
142,MURRAY HILL,260.4802113540588,0.0389,0.0108,-0.0281,0.0514,0.0125
143,NAVY YARD,61.18552969974348,0.0583,0.0735,0.0152,0.0702,0.0119
144,NEPONSIT,88.44155405405405,0.0183,-0.0042,-0.0225,0.0285,0.0102
145,OAKLAND GARDENS,62.19394918378122,0.0229,0.0268,0.0039,0.0258,0.0029
146,OCEAN HILL,73.96189270084362,0.0537,0.0602,0.0065,0.063,0.0093
147,OCEAN PARKWAY-NORTH,64.242998015101,0.0351,0.0423,0.0072,0.0418,0.0067
148,OCEAN PARKWAY-SOUTH,65.20842267715352,0.0341,0.0461,0.012,0.0401,0.006
149,OLD MILL BASIN,47.250000884923345,0.0208,0.0359,0.0151,0.03,0.0092
150,OZONE PARK,44.02337907976688,0.0186,0.0282,0.0096,0.0232,0.0046
151,PARK SLOPE,87.00666364507943,0.0575,0.0615,0.004,0.0663,0.0088
152,PARK SLOPE SOUTH,71.14820780146874,0.0512,0.0657,0.0145,0.0616,0.0104
153,PARKCHESTER,55.01364207175194,0.0208,0.0179,-0.0029,0.0276,0.0068
154,PELHAM BAY,38.473486205661054,0.0182,0.0226,0.0044,0.0176,-0.0006
155,PELHAM GARDENS,44.348025711662075,0.016,0.0183,0.0023,0.0149,-0.0011
156,PELHAM PARKWAY NORTH,39.13309663719305,0.0146,0.0207,0.0061,0.0156,0.001
157,PELHAM PARKWAY SOUTH,51.906797550824926,0.0198,0.0187,-0.0011,0.024,0.0042
158,PROSPECT HEIGHTS,76.02806964523799,0.0496,0.0564,0.0068,0.0593,0.0097
159,QUEENS VILLAGE,46.440729355331705,0.019,0.0281,0.0091,0.0221,0.0031
