Year,Neighborhood,Average_Income
2014,KINGSBRIDGE/JEROME PARK,53.69432542009893
2014,KIPS BAY,175.53983072166292
2014,LAURELTON,43.15377174592227
2014,LITTLE ITALY,292.5607756058742
2014,LITTLE NECK,76.96757300637269
2014,LONG ISLAND CITY,59.490519169360205
2014,LOWER EAST SIDE,255.897177828439
2014,MADISON,49.46004208846914
2014,MANHATTAN BEACH,55.600719041278296
2014,MANHATTAN VALLEY,206.26992686260053
2014,MANHATTAN-UNKNOWN,240.7441668914209
2014,MARINE PARK,62.528778494897054
2014,MASPETH,50.039893487176734
2014,MELROSE/CONCOURSE,42.442628585799625
2014,MIDDLE VILLAGE,53.6793898694712
2014,MIDTOWN CBD,346.4553782455513
2014,MIDTOWN EAST,317.35169150481664
2014,MIDTOWN WEST,347.8873669616999
2014,MIDWOOD,55.3763374309814
2014,MILL BASIN,60.764376651453276
2014,MORNINGSIDE HEIGHTS,73.8812409358801
2014,MORRIS PARK/VAN NEST,43.726933672150494
2014,MORRISANIA/LONGWOOD,30.426871801390575
2014,MOTT HAVEN/PORT MORRIS,33.16631261733129
2014,MOUNT HOPE/MOUNT EDEN,27.724771400149244
2014,MURRAY HILL,277.268769431398
2014,NAVY YARD,54.151003605714436
2014,NEPONSIT,90.29357142857143
2014,OAKLAND GARDENS,60.07561485696958
2014,OCEAN HILL,67.57357586351635
2014,OCEAN PARKWAY-NORTH,59.65028295175364
2014,OCEAN PARKWAY-SOUTH,60.5976599290921
2014,OLD MILL BASIN,44.00861703099177
2014,OZONE PARK,42.19677129295653
2014,PARK SLOPE,80.19135977557083
2014,PARK SLOPE SOUTH,65.42260733845322
2014,PARKCHESTER,56.92084512347077
2014,PELHAM BAY,36.79884015947807
2014,PELHAM GARDENS,42.555566067486595
2014,PELHAM PARKWAY NORTH,37.416454997420935
2014,PELHAM PARKWAY SOUTH,52.54206996966405
2014,PROSPECT HEIGHTS,69.56488124003711
2014,QUEENS VILLAGE,44.35041872914496
2014,QUEENS-UNKNOWN,45.28072877916887
2014,RED HOOK,83.26973186924046
2014,REGO PARK,51.047210936286575
