,PCT,Crime,Year,Nbr of Crimes,variable,Neighborhood
277,1.0,ROBBERY                               ,2017,69.0,1,Tribeca
278,1.0,FELONY ASSAULT                        ,2017,91.0,0,Battery Park
279,1.0,FELONY ASSAULT                        ,2017,91.0,1,Tribeca
280,1.0,BURGLARY                              ,2017,65.0,0,Battery Park
281,1.0,BURGLARY                              ,2017,65.0,1,Tribeca
282,1.0,GRAND LARCENY                         ,2017,1068.0,0,Battery Park
283,1.0,GRAND LARCENY                         ,2017,1068.0,1,Tribeca
284,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2017,17.0,0,Battery Park
285,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2017,17.0,1,Tribeca
286,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2017,1337.0,0,Battery Park
287,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2017,1337.0,1,Tribeca
288,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2018,1.0,0,Battery Park
289,1.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2018,1.0,1,Tribeca
290,1.0,RAPE                                  ,2018,23.0,0,Battery Park
291,1.0,RAPE                                  ,2018,23.0,1,Tribeca
292,1.0,ROBBERY                               ,2018,80.0,0,Battery Park
293,1.0,ROBBERY                               ,2018,80.0,1,Tribeca
294,1.0,FELONY ASSAULT                        ,2018,61.0,0,Battery Park
295,1.0,FELONY ASSAULT                        ,2018,61.0,1,Tribeca
296,1.0,BURGLARY                              ,2018,85.0,0,Battery Park
297,1.0,BURGLARY                              ,2018,85.0,1,Tribeca
298,1.0,GRAND LARCENY                         ,2018,1085.0,0,Battery Park
299,1.0,GRAND LARCENY                         ,2018,1085.0,1,Tribeca
300,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2018,21.0,0,Battery Park
301,1.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2018,21.0,1,Tribeca
302,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2018,1356.0,0,Battery Park
303,1.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2018,1356.0,1,Tribeca
304,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,4.0,0,Lower East Side
305,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,4.0,1,Chinatown
306,5.0,RAPE                                  ,2000,9.0,0,Lower East Side
307,5.0,RAPE                                  ,2000,9.0,1,Chinatown
308,5.0,ROBBERY                               ,2000,351.0,0,Lower East Side
309,5.0,ROBBERY                               ,2000,351.0,1,Chinatown
310,5.0,FELONY ASSAULT                        ,2000,190.0,0,Lower East Side
311,5.0,FELONY ASSAULT                        ,2000,190.0,1,Chinatown
312,5.0,BURGLARY                              ,2000,285.0,0,Lower East Side
313,5.0,BURGLARY                              ,2000,285.0,1,Chinatown
314,5.0,GRAND LARCENY                         ,2000,824.0,0,Lower East Side
315,5.0,GRAND LARCENY                         ,2000,824.0,1,Chinatown
316,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,117.0,0,Lower East Side
317,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,117.0,1,Chinatown
318,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2000,1780.0,0,Lower East Side
319,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2000,1780.0,1,Chinatown
320,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2001,3.0,0,Lower East Side
321,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2001,3.0,1,Chinatown
322,5.0,RAPE                                  ,2001,3.0,0,Lower East Side
323,5.0,RAPE                                  ,2001,3.0,1,Chinatown
324,5.0,ROBBERY                               ,2001,261.0,0,Lower East Side
325,5.0,ROBBERY                               ,2001,261.0,1,Chinatown
326,5.0,FELONY ASSAULT                        ,2001,147.0,0,Lower East Side
327,5.0,FELONY ASSAULT                        ,2001,147.0,1,Chinatown
328,5.0,BURGLARY                              ,2001,247.0,0,Lower East Side
329,5.0,BURGLARY                              ,2001,247.0,1,Chinatown
330,5.0,GRAND LARCENY                         ,2001,697.0,0,Lower East Side
331,5.0,GRAND LARCENY                         ,2001,697.0,1,Chinatown
332,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2001,100.0,0,Lower East Side
333,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2001,100.0,1,Chinatown
334,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2001,1458.0,0,Lower East Side
335,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2001,1458.0,1,Chinatown
336,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2002,0.0,0,Lower East Side
337,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2002,0.0,1,Chinatown
338,5.0,RAPE                                  ,2002,12.0,0,Lower East Side
339,5.0,RAPE                                  ,2002,12.0,1,Chinatown
340,5.0,ROBBERY                               ,2002,196.0,0,Lower East Side
341,5.0,ROBBERY                               ,2002,196.0,1,Chinatown
342,5.0,FELONY ASSAULT                        ,2002,108.0,0,Lower East Side
343,5.0,FELONY ASSAULT                        ,2002,108.0,1,Chinatown
344,5.0,BURGLARY                              ,2002,212.0,0,Lower East Side
