,Neighborhood,NEIGHBORHOOD,current_status,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
59,FarRockaway,FARROCKAWAY,863.0,-0.018,-0.022,-0.004,0.004,0.022
60,Flatbush,FLATBUSH-CENTRAL,1243.0,-0.067,-0.093,-0.026,-0.074,-0.007
61,Flatbush,FLATBUSH-NORTH,1243.0,-0.067,-0.093,-0.026,-0.074,-0.007
62,flatlands,FLATLANDS,887.0,-0.047,-0.079,-0.032,-0.073,-0.026
63,flatlands,BERGENBEACH,887.0,-0.047,-0.079,-0.032,-0.073,-0.026
64,flatlands,MILLBASIN,887.0,-0.047,-0.079,-0.032,-0.073,-0.026
65,flatlands,OLDMILLBASIN,887.0,-0.047,-0.079,-0.032,-0.073,-0.026
66,Flushing,FLUSHING-NORTH,1086.0,-0.048,-0.005,0.043,-0.033,0.015
67,Flushing,BEECHHURST,1086.0,-0.048,-0.005,0.043,-0.033,0.015
68,Flushing,COLLEGEPOINT,1086.0,-0.048,-0.005,0.043,-0.033,0.015
69,Flushing,FLUSHING-SOUTH,1086.0,-0.048,-0.005,0.043,-0.033,0.015
70,Flushing,FLUSHINGMEADOWPARK,1086.0,-0.048,-0.005,0.043,-0.033,0.015
71,Flushing,WHITESTONE,1086.0,-0.048,-0.005,0.043,-0.033,0.015
72,Fordham,FORDHAM,1917.0,0.001,-0.027,-0.028,-0.025,-0.026
73,Fordham,CROTONAPARK,1917.0,0.001,-0.027,-0.028,-0.025,-0.026
74,Fordham,FIELDSTON,1917.0,0.001,-0.027,-0.028,-0.025,-0.026
75,ForestHills,FORESTHILLS,621.0,-0.06,-0.02,0.04,-0.058,0.002
76,ForestHills,BRIARWOOD,621.0,-0.06,-0.02,0.04,-0.058,0.002
77,ForestHills,MIDDLEVILLAGE,621.0,-0.06,-0.02,0.04,-0.058,0.002
78,ForestHills,REGOPARK,621.0,-0.06,-0.02,0.04,-0.058,0.002
79,FortGreene,FORTGREENE,845.0,-0.01,-0.027,-0.017,-0.047,-0.037
80,FortGreene,CLINTONHILL,845.0,-0.01,-0.027,-0.017,-0.047,-0.037
