neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
FLUSHING-SOUTH,178.0,56.5,44.0,120.0,0.4836,0.4422,1.3085
FLUSHINGMEADOWPARK,178.0,119.5,130.0,140.0,0.6887,0.6066,3.3745
WHITESTONE,178.0,76.0,53.0,95.0,0.4879,0.4372,1.5076
FORDHAM,28.0,42.5,147.0,90.5,0.3738,0.3275,3.5467
CROTONAPARK,28.0,28.5,131.0,65.0,0.3064,0.2686,3.1363
FIELDSTON,28.0,87.0,67.0,128.0,0.3762,0.3282,1.7862
FORESTHILLS,197.5,98.5,38.0,75.0,0.4964,0.4387,1.1736
BRIARWOOD,197.5,64.0,89.0,143.0,0.5989,0.5447,2.3904
MIDDLEVILLAGE,197.5,106.5,15.0,126.0,0.54,0.4837,0.7067
REGOPARK,197.5,80.0,140.0,25.0,0.537,0.4669,3.453
FORTGREENE,52.0,194.0,121.0,13.0,0.4612,0.3603,3.0242
CLINTONHILL,52.0,177.0,129.0,83.0,0.5352,0.4393,3.2686
DOWNTOWN-FULTONMALL,52.0,196.0,185.0,70.0,0.6104,0.4966,4.5641
GERRITSENBEACH,185.0,96.5,76.0,161.0,0.6292,0.5659,2.1342
GREENPOINT,30.0,186.0,143.0,103.0,0.5607,0.4601,3.6086
GREENWICHVILLAGE-CENTRAL,77.0,162.0,110.0,185.0,0.6481,0.56,2.9425
GREENWICHVILLAGE-WEST,77.0,132.0,102.0,68.0,0.46,0.3849,2.6011
HARLEM-UPPER,17.5,171.0,186.0,51.0,0.5164,0.4141,4.5212
HIGHBRIDGE/MORRISHEIGHTS,101.5,34.0,108.0,61.0,0.3695,0.3293,2.6515
HUNTSPOINT,85.5,47.0,156.0,122.0,0.4982,0.4448,3.8279
CASTLEHILL/UNIONPORT,85.5,22.0,157.0,109.0,0.4533,0.4093,3.8124
