BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,2929,65, ,  , 3966 3 AVENUE                             ,            ,10457,0,0,0,0,0,0, 4 , G7 ,0,6/26/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,2929,66, ,  , 3968 3 AVENUE                             ,            ,10457,0,0,0,0,0,0, 4 , G7 ,0,6/26/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,2929,67, ,  , 3970 3 AVENUE                             ,            ,10457,0,0,0,0,0,0, 4 , G7 ,0,6/26/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,2929,68, ,  , 3972 3 AVENUE                             ,            ,10457,0,0,0,0,0,0, 4 , G7 ,0,6/26/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,1B,3047,19, ,V0, 2119 BATHGATE AVENUE                      ,            ,10457,0,0,0,2970,0,0, 4 , G7 ,0,6/20/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,1B,3047,19, ,V0, 2119 BATHGATE AVENUE                      ,            ,10457,0,0,0,2970,0,0, 4 , G7 ,18000,5/14/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3051,43, ,G2, 4491 THIRD AVENUE                         ,            ,10457,0,1,1,6236,6229,1931, 4 , G2 ,2000000,9/23/2008
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3053,51, ,G9, 2321 BATHGATE AVENUE                      ,            ,10458,0,2,2,5041,5041,2009, 4 , G7 ,100000,3/10/2008
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2899,58, ,E7, 4077 PARK AVENUE                          ,            ,10457,0,7,7,9180,48000,1931, 4 , E7 ,7757575,2/29/2008
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3029,37, ,F5, 420 EAST 180TH STREET                     ,            ,10457,0,1,1,1578,3077,1997, 4 , E3 ,320000,11/6/2008
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3038,38, ,E1, 2249 WASHINGTON AVENUE                    ,            ,10457,0,3,3,9953,8800,1931, 4 , E1 ,1500000,12/19/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,2,2929,50, ,D7, 3 AVENUE                                  ,            ,10457,279,5,284,48242,290567,2008, 4 , V1 ,6,6/26/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3034,23, ,V1, 448 EAST 178 ST.                          ,            ,10457,0,0,0,2598,0,0, 4 , V1 ,200000,9/25/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,1B,3037,70, ,V0, WASHINGTON AVENUE                         ,            ,10457,0,0,0,1700,0,0, 4 , V1 ,0,5/21/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,2,3037,71, ,D1, WASHINGTON AVENUE                         ,            ,10457,48,0,48,6800,22180,2008, 4 , V1 ,840000,5/21/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,1B,3037,72, ,V0, WASHINGTON AVENUE                         ,            ,10457,0,0,0,1700,0,0, 4 , V1 ,0,5/21/2008
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,1B,3037,132, ,V0, WASHINGTON AVENUE                         ,            ,10457,0,0,0,1700,0,0, 4 , V1 ,0,5/21/2008
